"page","title","description","type","titleLocation","showCommentArea","commentText","helpURL","helpURLTitle","correctAnswer"
"GitHub Copilot for Business","Have you decided if you will you enable copilot chat in the whole enterprise or set at org level?","At this time Copilot chat is in beta","boolean","top","FALSE","Comment","https://docs.github.com/en/enterprise-cloud@latest/admin/policies/enforcing-policies-for-your-enterprise/enforcing-policies-for-github-copilot-in-your-enterprise","Copilot information",
"GitHub Copilot for Business","Have you chosen which organizations on which to enable Copilot?","You can select a subset of orgs or the whole enterprise","boolean","top","FALSE","Comment","https://docs.github.com/en/enterprise-cloud@latest/admin/policies/enforcing-policies-for-your-enterprise/enforcing-policies-for-github-copilot-in-your-enterprise","Copilot information","TRUE"
"Actions","Will you allow self-hosted runners at repo level? ",,"boolean","top","FALSE","Comment","https://docs.github.com/en/enterprise-cloud@latest/admin/policies/enforcing-policies-for-your-enterprise/enforcing-policies-for-github-actions-in-your-enterprise","Copilot information","TRUE"
"Actions","Will you allow Runners against personal EMU namespaces? ",,"boolean","top","FALSE","Comment","https://docs.github.com/en/enterprise-cloud@latest/admin/policies/enforcing-policies-for-your-enterprise/enforcing-policies-for-github-actions-in-your-enterprise","Copilot information","TRUE"
"Settings - Billing","Have you set a spending limit and enabled alerts?","You can set alerts at  at 75/90/100%","boolean","top","FALSE","Comment","https://docs.github.com/en/enterprise-cloud@latest/","More info","TRUE"
"Settings - Billing","Have you setup billing emails? ",,"boolean","top","FALSE","Comment","https://docs.github.com/en/enterprise-cloud@latest/","More info","TRUE"
"Settings - Billing","Have you added an Azure subscription to payment information? ",,"boolean","top","FALSE","Comment","https://docs.github.com/en/enterprise-cloud@latest/","More info","TRUE"
"Settings - Authentication Security","Do you have your recovery codes from the setup user somewhere very safe? ",,"boolean","top","FALSE","Comment","https://docs.github.com/en/enterprise-cloud@latest/","More info","TRUE"
"Settings - Authentication Security","Will you automatically redirect users to your sign in page?","This makes it easier for users to get to the login page if required","boolean","top","FALSE","Comment","https://docs.github.com/en/enterprise-cloud@latest/","More info","TRUE"
"Settings - Authentication Security","Have you enabled the IP allow list for your IdP? (OIDC) or set restrictions (SAML) ",,"boolean","top","FALSE","Comment","https://docs.github.com/en/enterprise-cloud@latest/admin/configuration/hardening-security-for-your-enterprise/restricting-network-traffic-to-your-enterprise-with-an-ip-allow-list","IP Allow list information","TRUE"
"Code security and analysis","Will you get repo admins enable/disable secret scanning and code scanning?",,"boolean","top","FALSE","Comment","https://docs.github.com/en/enterprise-cloud@latest/","More info","TRUE"
"Code security and analysis","Have you enabled push protection for secrets? ","GitHub Advanced Security includes secret and code scanning as well as Dependabot","boolean","top","FALSE","Comment","https://docs.github.com/en/enterprise-cloud@latest/","More info","TRUE"
"Code security and analysis","Have you enabled Dependabot by default to protect against supply chain attacks?",,"boolean","top","FALSE","Comment","https://docs.github.com/en/enterprise-cloud@latest/","More info","TRUE"
"Code security and analysis","Do you have a custom push protection URL to show to your users some help text?",,"boolean","top","FALSE","Comment","https://docs.github.com/en/enterprise-cloud@latest/","More info",
"Verified domains","Have you added approved domains so you can make sure alerts don't go to domains you don't want to share with?",,"boolean","top","FALSE","Comment","https://docs.github.com/en/enterprise-cloud@latest/","More info","TRUE"
"Audit log","Is Audit Log Streaming Enabled to keep over 3 months of logs if you require this?","This can help you meet your regulatory and compliance requirements","boolean","top","FALSE","Comment","https://github.com/enterprises/stucorp/settings/audit-log/stream ","Audit Log Streaming","TRUE"
"Audit log","Is Source IP Disclosure enabled?        ",,"boolean","top","FALSE","Comment","https://docs.github.com/en/enterprise-cloud@latest/","More info","TRUE"
"Audit log","Audit Log API Request Events Enabled? ",,"boolean","top","FALSE","Comment","https://docs.github.com/en/enterprise-cloud@latest/","More info","TRUE"
"Support","Have you set the members who can raise support cases with GitHub? (up to 20)",,"boolean","top","FALSE","Comment","https://docs.github.com/en/enterprise-cloud@latest/","More info","TRUE"
