page,title,description,name,type,titleLocation,showCommentArea,commentText,helpURL,helpURLTitle,correctAnswer
Resource Management and Optimization,Are you managing version control of self-hosted runners?,Easily apply security patches and new features through version management for self-hosted runners.,question57,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Resource Management and Optimization,Are you monitoring the performance of self-hosted runners?,Understand resource usage and bottlenecks to optimize self-hosted runner performance.,question58,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Resource Management and Optimization,Have you defined processes for maintenance and upgrades of self-hosted runners?,Ensure stability and security through defined maintenance and upgrade processes for self-hosted runners.,question59,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Resource Management and Optimization,Are you implementing security measures for self-hosted runners?,Protect against unauthorized access and malicious operations for self-hosted runners.,question60,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Resource Management and Optimization,Are you ensuring redundancy and failover for self-hosted runner failures?,Improve availability through redundancy and failover for self-hosted runners.,question61,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Resource Management and Optimization,Are you managing self-hosted runner instances and resource requirements effectively?,Achieve optimal performance and resource utilization for self-hosted runners.,question62,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Resource Management and Optimization,Are you regularly applying security patches and updates to self-hosted runners?,Minimize security vulnerabilities through regular application of security patches and updates for self-hosted runners.,question63,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Resource Management and Optimization,Are you verifying the network connectivity of self-hosted runners?,Identify issues affecting access to external resources and dependency resolution for self-hosted runners.,question64,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Resource Management and Optimization,Are you optimizing startup and preparation time for self-hosted runners?,Shorten execution and preparation time for workflows through optimization of self-hosted runners.,question65,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Workflow Design and Configuration,Are you using environment variables in your workflow?,Manage configurations flexibly by utilizing environment variables.,question66,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Development Efficiency and Troubleshooting,Are you automating the setup of development environments in your workflow?,Automate the setup of development environments to facilitate onboarding and environment reproducibility for new developers.,question67,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Workflow Design and Configuration,Are you using external APIs in steps of your workflow?,Incorporate additional functionality into your workflow by utilizing external APIs.,question68,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Workflow Design and Configuration,Are you running unit tests in your workflow?,Ensure code quality through the execution of unit tests in your workflow.,question69,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Workflow Design and Configuration,Are you running integration tests in your workflow?,Confirm interactions between multiple pieces of code through the execution of integration tests.,question70,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Workflow Design and Configuration,Are you running end-to-end tests in your workflow?,Validate the system's overall functionality from a user's perspective through the execution of end-to-end tests.,question71,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Workflow Design and Configuration,Are you automating dependency updates in your workflow?,Automate dependency updates to maintain project security and up-to-date dependencies.,question72,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Workflow Design and Configuration,Are you using Docker containers in your workflow?,Utilize Docker containers to ensure consistency and improve portability of the environment for your project.,question73,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Workflow Design and Configuration,Are you automatically creating and deleting branches in your workflow?,Automate branch creation and deletion to streamline codebase management.,question74,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Workflow Design and Configuration,Are you creating your own custom GitHub Action workflows?,Create custom GitHub Actions to automate specific tasks and customize your workflows.,question75,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Workflow Design and Configuration,Are you automating task scheduling in your workflow?,Optimize execution timing and resource utilization through automated task scheduling in workflows.,question76,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Workflow Design and Configuration,Are you reusing code style checks in your workflow?,Maintain code consistency and quality through the reuse of code style checks in workflows.,question77,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Workflow Design and Configuration,Are you reusing dependency caches in your workflow?,Shorten build and test execution times by reusing dependency caches in workflows.,question78,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Workflow Design and Configuration,Are you reusing Docker image caches in your workflow?,Reduce image build times by reusing Docker image caches in workflows.,question79,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Workflow Design and Configuration,Are you reusing package manager caches in your workflow?,Speed up package download and installation through the reuse of package manager caches in workflows.,question80,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Workflow Design and Configuration,Are you controlling cache retention periods in your workflow?,Set cache retention periods to automatically remove caches after a certain time,question81,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Workflow Design and Configuration,Are you building custom container images in your workflow?,Build custom container images to create tailored development or runtime environments.,question82,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Workflow Design and Configuration,Are you using Pull Request triggers to initiate GitHub Actions workflows?,Trigger workflows based on Pull Request creation or updates.,question83,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Workflow Design and Configuration,Are you using manual triggers to initiate workflows?,Users can manually trigger workflows when needed.,question84,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Workflow Design and Configuration,Are you restricting workflows for specific branches or tags?,Limiting workflows to certain branches or tags allows for selective workflow execution.,question85,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Workflow Design and Configuration,Are you using Matrix builds?,Matrix builds simplify testing with multiple versions or configurations.,question86,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Workflow Design and Configuration,Are you controlling other jobs based on the results of a job?,Defining job dependencies enables control over the order of jobs within a workflow.,question87,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Workflow Design and Configuration,Are you using reusable actions in your workflow? (GitHub Action's Reusable Workflows),Using reusable actions streamlines workflow creation and maintenance.,question88,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Workflow Design and Configuration,Are you using conditional branching within workflow steps?,Conditional branching allows execution of steps only under specific conditions.,question89,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Workflow Design and Configuration,Are you triggering workflows based on specific events other than Push or Pull Requests (e.g., issue creation,question90,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Workflow Design and Configuration,Are you running multiple jobs in parallel?,Running jobs in parallel reduces overall workflow execution time.,question91,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Workflow Design and Configuration,Are you using shell scripts within workflow steps?,Using shell scripts enables performing complex operations.,question92,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Workflow Design and Configuration,Are you referencing actions from other repositories?,GitHub allows referencing actions from other repositories to build flexible workflows.,question93,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Workflow Design and Configuration,Are you using path filters to restrict workflow execution?,Using path filters allows running workflows only on specific file or directory changes.,question94,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Workflow Design and Configuration,Are you using caching in your workflow?,Using caching reduces workflow execution time.,question95,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Workflow Design and Configuration,Are you using built-in functions in your workflow steps?,Using built-in functions enhances workflow flexibility and functionality.,question96,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Workflow Design and Configuration,Are you automatically changing repository settings within your workflow?,Automatically changing repository settings streamlines repository management.,question97,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Workflow Design and Configuration,Are you leveraging parallel execution of steps in your workflow?,Using parallel execution of steps reduces workflow execution time and improves efficiency.,question98,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Workflow Design and Configuration,Are you using workflow templates?,Using workflow templates allows reusing common configurations and steps.,question99,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Workflow Design and Configuration,Are you passing results from one workflow to another?,Passing results between workflows enables data and information sharing.,question100,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Workflow Design and Configuration,Are you reusing installations of libraries or tools in your workflow?,Reusing library or tool installations efficiently sets up workflow execution environments.,question101,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
Workflow Design and Configuration,Are you executing commands within containers in your workflow?,Executing commands within containers automates various processes like build,question102,boolean,top,FALSE,Comment,https://docs.github.com/en/enterprise-cloud@latest/,More info,TRUE
